# process with pid = 37431, launched at 2019-10-12 16:32:53.591479
# <j2> <train_ratio> <test_loss> <test_loss_err> <test_accuracy> <test_accuracy_err> <train_loss> <train_loss_err> <train_accuracy> <train_accuracy_err> <rest_loss> <rest_loss_err> <rest_accuracy> <rest_accuracy_err> <resampled_loss> <resampled_loss_err> <resampled_accuracy> <resampled_accuracy_err> <total_overlap> <total_overlap_err> <rest_overlap> <rest_overlap_err> <total_expr> <total_acc> 
0.400 0.00001 6.9567137957e-01 1.2323260307e-03 4.9955195400e-01 5.3829987493e-04 6.6429856233e-03 2.1147332154e-03 1.0000000000e+00 0.0000000000e+00 6.9563776255e-01 1.1653304100e-03 5.0058114529e-01 5.9962272644e-05 6.9747823477e-01 2.9072761536e-03 4.9419729207e-01 8.7040618956e-03 -1.3521770226e-03 9.8569556159e-04 1.0913303448e-03 1.2018712547e-04 4.5282524079e-03 1.0000000000e+00
0.400 0.00002 6.9415885210e-01 6.3598155975e-05 4.9865908534e-01 1.1604069160e-04 1.0638961568e-02 1.9585499540e-03 1.0000000000e+00 0.0000000000e+00 6.9408419728e-01 2.1249055862e-05 5.0090402365e-01 3.8325786591e-04 6.9444611669e-01 4.2530894279e-04 5.0080593166e-01 1.7730496454e-03 -3.9366886970e-04 1.1990729633e-04 1.7372803756e-03 7.6656917176e-04 8.1556998193e-03 1.0000000000e+00
0.400 0.00003 6.9420799613e-01 1.1089444160e-04 5.0092832553e-01 1.4827421705e-04 1.8566496205e-02 5.9258979745e-03 1.0000000000e+00 0.0000000000e+00 6.9436135888e-01 9.7304582596e-05 5.0004966557e-01 1.7444789410e-04 6.9446054101e-01 1.3619661331e-05 4.9720670391e-01 6.4460678986e-04 1.2598093576e-04 3.6730038264e-03 2.7512421750e-05 3.4870869810e-04 2.4492394179e-02 1.0000000000e+00
0.400 0.00005 6.9456425309e-01 4.2816996574e-04 4.9923928880e-01 6.4467050890e-06 6.8767733872e-02 2.9007121921e-03 1.0000000000e+00 0.0000000000e+00 6.9451329112e-01 3.1933188438e-04 5.0038251281e-01 2.9608607292e-04 6.9496250153e-01 7.6818466187e-04 4.9529396596e-01 1.7405879319e-03 -1.1487565583e-03 8.3592523932e-04 6.9339085715e-04 5.9229573264e-04 3.7280894816e-02 1.0000000000e+00
0.400 0.00010 6.9642463326e-01 4.6461820602e-05 5.0069946750e-01 1.2861176653e-03 1.1279409155e-03 1.0470772759e-03 1.0000000000e+00 0.0000000000e+00 6.9640138745e-01 2.7945637703e-04 4.9997499585e-01 7.5069069862e-04 6.9669058919e-01 6.3124299049e-04 4.9664775658e-01 1.9339865910e-03 4.0733979787e-04 2.1734969780e-04 -1.2282078734e-04 1.5010961650e-03 2.0706653595e-04 1.0000000000e+00
0.400 0.00020 6.9782665372e-01 7.8824162483e-04 4.9738908444e-01 1.7406103740e-04 1.9313348457e-04 5.3424853832e-05 1.0000000000e+00 0.0000000000e+00 6.9737237692e-01 6.1523914337e-04 5.0027832389e-01 2.6401877403e-04 6.9754943252e-01 9.6052885056e-05 4.9917805570e-01 4.8833161423e-03 -3.7780341947e-04 4.3152136155e-04 4.8245120250e-04 5.2826716463e-04 2.7030706406e-05 1.0000000000e+00
0.400 0.00030 6.9454118609e-01 2.0295381546e-05 4.9946170013e-01 1.7825139571e-03 1.1146969700e-04 1.8991831894e-05 1.0000000000e+00 0.0000000000e+00 6.9442790747e-01 1.5193223953e-04 5.0057527423e-01 3.5494565964e-05 6.9462949038e-01 3.5339593887e-04 4.9965617277e-01 1.0744600838e-05 1.6828008612e-03 2.6633399362e-03 1.0762234131e-03 7.0954367040e-05 9.2477865110e-05 1.0000000000e+00
0.400 0.00050 1.1388579383e-01 5.3290836513e-03 9.7531556621e-01 8.5741177684e-04 5.0256028771e-05 3.2037496567e-06 1.0000000000e+00 0.0000000000e+00 1.2560205907e-01 8.0218389630e-03 9.7345161438e-01 1.2792348862e-03 8.7406843901e-02 7.9529434443e-03 9.8136902229e-01 1.5472092214e-03 9.7027645895e-01 1.7127526960e-03 9.4690050062e-01 2.5583874578e-03 4.2785750702e-04 1.0000000000e+00
0.400 0.00100 6.5397137776e-02 3.1553190202e-03 9.8099511340e-01 2.6495957916e-03 4.6333530918e-05 2.3687491193e-05 1.0000000000e+00 0.0000000000e+00 7.2693083435e-02 4.1902773082e-03 9.7953903675e-01 2.7689337730e-03 5.1223706454e-02 3.5060308874e-03 9.8549813690e-01 1.7309403164e-03 9.7928398460e-01 2.7119925655e-03 9.5907888095e-01 5.5383782846e-03 2.2646039724e-05 1.0000000000e+00
0.400 0.00200 4.4698596001e-02 2.1477006376e-03 9.8618148764e-01 5.5763999020e-04 8.1838108599e-05 4.0248967707e-05 1.0000000000e+00 0.0000000000e+00 4.7294791788e-02 1.9607357681e-03 9.8548233509e-01 3.4481287003e-04 3.5004014149e-02 2.9435474426e-03 9.8928070656e-01 3.7874514481e-04 9.7748816063e-01 8.5274887240e-03 9.7097724775e-01 6.8942378483e-04 1.5087798238e-04 1.0000000000e+00
