# process with pid = 2743, launched at 2019-07-01 19:00:31.462380
# <j2> <train_ratio> <test_loss> <test_loss_err> <test_accuracy> <test_accuracy_err> <train_loss> <train_loss_err> <train_accuracy> <train_accuracy_err> <rest_loss> <rest_loss_err> <rest_accuracy> <rest_accuracy_err> <resampled_loss> <resampled_loss_err> <resampled_accuracy> <resampled_accuracy_err> <total_overlap> <total_overlap_err> <rest_overlap> <rest_overlap_err> <total_expr> <total_acc> 
0.500 0.002 2.0883973440e-01 9.7503107786e-02 9.1476680904e-01 4.6020544933e-02 3.1429515531e-02 2.6579309479e-02 1.0000000000e+00 0.0000000000e+00 2.1619588607e-01 9.7130412208e-02 9.1181562639e-01 4.5521208315e-02 1.9289948791e-01 9.3146474542e-02 9.2264546351e-01 4.1536167352e-02 7.4828265269e-01 9.5936134091e-02 7.3499053479e-01 9.4854992450e-02 1.3961873949e-02 1.0000000000e+00
0.500 0.004 4.0799609415e-03 4.3673292038e-03 9.9999383663e-01 8.7163160474e-06 1.3831338535e-03 1.6472765398e-03 1.0000000000e+00 0.0000000000e+00 4.6058467777e-03 4.6989491680e-03 9.9996003685e-01 2.1565636875e-05 3.5208651401e-03 3.8945468655e-03 9.9996918431e-01 4.3579968641e-05 9.5700463101e-01 1.0561505153e-04 9.5037884514e-01 1.9697034062e-04 5.8440247085e-04 1.0000000000e+00
0.500 0.006 5.7179331391e-04 2.5520268682e-04 9.9998150990e-01 1.5097102249e-05 7.8838939468e-05 1.1134363896e-04 1.0000000000e+00 0.0000000000e+00 6.2754757718e-04 3.6704045643e-04 9.9998142714e-01 1.0889153762e-06 2.7365564044e-04 3.4179134057e-04 1.0000000000e+00 0.0000000000e+00 9.5709189223e-01 2.1305781318e-05 9.4993299065e-01 1.0903098192e-04 1.5459954739e-07 1.0000000000e+00
0.500 0.008 1.4726099616e-03 1.5482879227e-03 9.9998150990e-01 1.5097102249e-05 1.1761983236e-05 1.6633956212e-05 1.0000000000e+00 0.0000000000e+00 1.6756871873e-03 1.7827989308e-03 9.9997560369e-01 7.1943378551e-06 1.4462352374e-03 1.7049614898e-03 9.9995377433e-01 3.7743104559e-05 9.5701787285e-01 1.1318663396e-04 9.5000291586e-01 1.1454384455e-04 0.0000000000e+00 1.0000000000e+00
0.500 0.010 6.5273348203e-04 1.6109384367e-04 9.9995069307e-01 8.7163160474e-06 4.9670537313e-09 7.0244747518e-09 1.0000000000e+00 0.0000000000e+00 4.4634178723e-04 5.4133020775e-05 9.9997941610e-01 1.5499979020e-06 6.0289228956e-04 4.9250859278e-04 9.9996302049e-01 3.0193646214e-05 9.5711488409e-01 1.1234120807e-05 9.4936341740e-01 2.1594047196e-04 0.0000000000e+00 1.0000000000e+00
0.500 0.020 3.1604083294e-03 3.8554532192e-03 9.9998150990e-01 1.5097102249e-05 1.0951844354e-03 1.5488167794e-03 1.0000000000e+00 0.0000000000e+00 3.2909163761e-03 4.0265824501e-03 9.9997243705e-01 6.1568449916e-06 3.0864416767e-03 3.8283947952e-03 9.9996301980e-01 1.5097102249e-05 9.5703971079e-01 5.6064231846e-05 9.4734985924e-01 1.6851600168e-04 7.4505805969e-09 1.0000000000e+00
0.500 0.030 5.0477151914e-04 1.0214821239e-04 9.9996918317e-01 8.7163160474e-06 3.0174851418e-07 2.4791146862e-07 1.0000000000e+00 0.0000000000e+00 5.8109847006e-04 1.0640709046e-04 9.9996624984e-01 9.1562007309e-06 6.2506577039e-04 2.7168395786e-04 9.9995480226e-01 1.5374041651e-05 9.5705990126e-01 8.0466906181e-05 9.4561827761e-01 3.6657352770e-05 5.0872750580e-04 1.0000000000e+00
0.500 0.040 3.3941092746e-04 6.7977793838e-05 9.9997534654e-01 8.7163160474e-06 2.6490954023e-08 3.7463866460e-08 1.0000000000e+00 0.0000000000e+00 6.2126775484e-04 3.6966842152e-05 9.9996367321e-01 6.1770366116e-06 4.0671823081e-04 1.4447424347e-04 9.9997226485e-01 7.5485511244e-06 9.5711159876e-01 2.4707294596e-05 9.4377199955e-01 7.6976627474e-05 7.9472862069e-08 1.0000000000e+00
0.500 0.050 6.0569738465e-04 2.5217935157e-04 9.9995685644e-01 1.7432632095e-05 1.1002024015e-06 3.8296676815e-07 1.0000000000e+00 0.0000000000e+00 6.8933906416e-04 7.8528425591e-05 9.9996232538e-01 7.3707891402e-07 5.0011088024e-04 4.9942004339e-05 9.9996548528e-01 6.9730270516e-06 9.5711402637e-01 7.1396947032e-06 9.4273252762e-01 1.6408962701e-04 4.7497451305e-06 1.0000000000e+00
0.500 0.060 5.5898469873e-04 2.3438338228e-04 9.9996301980e-01 1.5097102249e-05 1.5906989574e-06 2.7074429856e-07 1.0000000000e+00 0.0000000000e+00 7.5746194272e-04 2.9232753896e-05 9.9995443285e-01 3.0643395478e-06 4.8464272792e-04 1.6191616589e-04 9.9996712871e-01 1.2664513603e-05 9.5711564906e-01 2.9141347567e-05 9.4040343807e-01 2.5117024718e-04 3.6507844925e-07 1.0000000000e+00
