# process with pid = 45271, launched at 2019-07-10 08:07:19.230360
# <j2> <train_ratio> <test_loss> <test_loss_err> <test_accuracy> <test_accuracy_err> <train_loss> <train_loss_err> <train_accuracy> <train_accuracy_err> <rest_loss> <rest_loss_err> <rest_accuracy> <rest_accuracy_err> <resampled_loss> <resampled_loss_err> <resampled_accuracy> <resampled_accuracy_err> <total_overlap> <total_overlap_err> <rest_overlap> <rest_overlap_err> <total_expr> <total_acc> 
0.000 0.01000 3.4873205237e-02 1.4774373289e-03 0.0000000000e+00 0.0000000000e+00 1.1917890050e-02 1.0401075706e-03 0.0000000000e+00 0.0000000000e+00 2.2339239424e+02 1.2191208251e+01 5.0067058343e-01 3.2611195197e-04 3.0617250130e-02 1.4830642560e-03 5.0085052881e-01 2.7205715128e-03 9.9562190333e-01 1.4877373363e-04 9.9449026559e-01 1.7113513609e-04 1.6328772530e-02 0.0000000000e+00
0.100 0.01000 3.7735786755e-02 6.3058786193e-03 0.0000000000e+00 0.0000000000e+00 1.2003529468e-02 2.8498337170e-03 0.0000000000e+00 0.0000000000e+00 2.8834512207e+02 1.6650034584e+01 5.0163775365e-01 4.6715052594e-04 3.2777212560e-02 5.4859575141e-03 4.9831743214e-01 1.5490620595e-03 9.9520640576e-01 7.1068728645e-04 9.9387041117e-01 8.2270122079e-04 1.1719073169e-02 0.0000000000e+00
0.200 0.01000 4.4846074656e-02 4.0373615185e-03 0.0000000000e+00 0.0000000000e+00 1.5572803095e-02 2.2855425151e-03 0.0000000000e+00 0.0000000000e+00 4.7059895794e+02 1.7834011532e+01 4.9903620434e-01 4.7748556577e-04 3.9300584234e-02 3.3847695272e-03 4.9975963316e-01 1.0539161305e-03 9.9415515546e-01 5.0526953782e-04 9.9238510161e-01 6.0248103524e-04 1.4930918813e-02 0.0000000000e+00
0.300 0.01000 4.6255921014e-02 5.8980091723e-03 0.0000000000e+00 0.0000000000e+00 1.5540082240e-02 2.7696778009e-03 0.0000000000e+00 0.0000000000e+00 7.6247223724e+02 7.0847055740e+01 4.9857586324e-01 3.3045918869e-04 4.0438313037e-02 5.5237972076e-03 4.9736520967e-01 2.2722662221e-03 9.9374227746e-01 7.9386958349e-04 9.9157850403e-01 1.0622301281e-03 1.6594752669e-02 0.0000000000e+00
0.400 0.01000 5.3249761462e-02 8.3342337002e-04 0.0000000000e+00 0.0000000000e+00 1.5721543459e-02 1.9175677260e-03 0.0000000000e+00 0.0000000000e+00 9.8352453947e+02 3.0625073174e+01 5.0058261454e-01 9.7028726450e-04 4.5980606228e-02 6.7283071084e-04 4.9864100288e-01 2.3006748581e-03 9.9262759257e-01 1.4742370121e-04 9.8985679885e-01 2.4833923196e-04 2.2987529635e-02 0.0000000000e+00
0.480 0.01000 5.7071706280e-02 1.7110335668e-03 0.0000000000e+00 0.0000000000e+00 1.7876479775e-02 9.7203691211e-04 0.0000000000e+00 0.0000000000e+00 1.1961520341e+03 3.2238598304e+01 4.9757425288e-01 2.8700043789e-04 4.8717606813e-02 1.6561452447e-03 4.9901079802e-01 7.6117412590e-04 9.9207781015e-01 3.1987635388e-04 9.8874577885e-01 4.2528605258e-04 1.8958730623e-02 0.0000000000e+00
0.490 0.01000 5.5418250151e-02 3.5277710208e-03 0.0000000000e+00 0.0000000000e+00 1.7991406843e-02 2.0942109102e-03 0.0000000000e+00 0.0000000000e+00 1.1864346012e+03 1.0017942214e+01 5.0121754288e-01 7.1642799550e-04 4.7562176362e-02 2.2645859257e-03 5.0182124103e-01 3.3356848301e-03 9.9230325489e-01 2.2778090474e-04 9.8901430271e-01 2.8422666107e-04 2.3543952033e-02 0.0000000000e+00
0.500 0.01000 6.3610619865e-02 7.8411267306e-03 0.0000000000e+00 0.0000000000e+00 1.9531606929e-02 4.2616014109e-03 0.0000000000e+00 0.0000000000e+00 1.2425573231e+03 5.9380892882e+01 4.9812873366e-01 5.0932700573e-04 5.3961322643e-02 5.7474204661e-03 5.0047148880e-01 2.2101834103e-03 9.9132224339e-01 9.1424695773e-04 9.8772466814e-01 1.1794768555e-03 2.2134713829e-02 0.0000000000e+00
0.520 0.01000 5.6671311148e-02 6.9480312915e-03 0.0000000000e+00 0.0000000000e+00 1.6396547435e-02 2.3142305764e-03 0.0000000000e+00 0.0000000000e+00 1.2700412789e+03 4.7647039681e+01 5.0133813036e-01 2.8623062123e-04 4.7538004816e-02 5.1187661367e-03 4.9956549072e-01 2.7980537230e-03 9.9190708480e-01 7.1350477658e-04 9.8826081287e-01 9.1690179299e-04 1.7091389745e-02 0.0000000000e+00
0.530 0.01000 3.7490668148e-01 9.2421821414e-03 0.0000000000e+00 0.0000000000e+00 6.5065269358e-02 1.3955018462e-02 0.0000000000e+00 0.0000000000e+00 1.7966592523e+03 5.6560621681e+01 4.9768235605e-01 1.0362757371e-03 2.4551147595e-01 4.4851308352e-03 4.9895532875e-01 1.3231161873e-03 9.5426454047e-01 4.5651522692e-04 8.8407419759e-01 6.0790640392e-04 8.1634461880e-02 0.0000000000e+00
0.540 0.01000 3.6472348869e-01 3.3281332798e-03 0.0000000000e+00 0.0000000000e+00 6.3067341223e-02 9.6732182949e-03 0.0000000000e+00 0.0000000000e+00 1.7739875137e+03 3.2760696568e+01 5.0250317235e-01 4.3372569285e-04 2.3399942368e-01 2.0694657213e-03 4.9880741069e-01 1.4732461295e-03 9.5627535707e-01 4.4046755040e-04 8.8730854630e-01 1.3425754203e-03 4.6712830663e-02 0.0000000000e+00
0.550 0.01000 3.5528177768e-01 7.9652178705e-03 0.0000000000e+00 0.0000000000e+00 5.7900938205e-02 7.0904108353e-03 0.0000000000e+00 0.0000000000e+00 1.7924229692e+03 5.8053766397e+01 4.9971933727e-01 6.6891683654e-04 2.2790292650e-01 7.5959681670e-03 5.0098920198e-01 2.3125319845e-03 9.5746489526e-01 1.1218989537e-03 8.8765676922e-01 1.8658568600e-03 7.5249210000e-02 0.0000000000e+00
0.600 0.01000 3.8279088587e-01 7.7723672979e-03 0.0000000000e+00 0.0000000000e+00 6.4177330583e-02 1.4271422789e-02 0.0000000000e+00 0.0000000000e+00 1.8180515572e+03 2.8519242157e+01 5.0061227797e-01 1.3972976615e-03 2.4160923809e-01 8.8261035404e-04 4.9826196287e-01 2.1198004065e-03 9.5712514389e-01 9.8768314355e-04 8.8392704260e-01 1.2502408215e-03 7.5612232089e-02 0.0000000000e+00
0.700 0.01000 4.9500045925e-01 8.6550803129e-03 0.0000000000e+00 0.0000000000e+00 9.0507069603e-02 8.1341127589e-03 0.0000000000e+00 0.0000000000e+00 1.8219558229e+03 2.0272401049e+01 4.9865052288e-01 8.3782815487e-04 3.1295670569e-01 6.0141647498e-03 4.9812328970e-01 1.2986010465e-03 9.3951518258e-01 9.3941383677e-04 8.5427816141e-01 9.4957730669e-04 9.2285573483e-02 0.0000000000e+00
