# process with pid = 2433, launched at 2019-07-01 09:11:08.744080
# <j2> <train_ratio> <test_loss> <test_loss_err> <test_accuracy> <test_accuracy_err> <train_loss> <train_loss_err> <train_accuracy> <train_accuracy_err> <rest_loss> <rest_loss_err> <rest_accuracy> <rest_accuracy_err> <resampled_loss> <resampled_loss_err> <resampled_accuracy> <resampled_accuracy_err> <total_overlap> <total_overlap_err> <rest_overlap> <rest_overlap_err> <total_expr> <total_acc> 
0.000 0.010 2.3349094787e-02 1.4891227599e-02 9.9997688738e-01 1.5331179809e-05 1.3618395576e-02 9.5358951347e-03 1.0000000000e+00 0.0000000000e+00 2.3898919895e-02 1.5230135328e-02 9.9997753432e-01 1.4128727996e-05 2.2454728954e-02 1.4621672599e-02 9.9998151024e-01 1.8489756675e-05 9.9987923067e-01 4.0775021325e-05 9.9984766801e-01 4.8888293424e-05 2.7671020478e-02 1.0000000000e+00
0.100 0.010 1.8071998144e-02 1.4700434972e-02 9.9999537748e-01 8.0064475324e-06 1.0854001681e-02 1.0278706439e-02 1.0000000000e+00 0.0000000000e+00 1.8232621684e-02 1.4521996424e-02 9.9998236360e-01 8.4141907002e-06 1.7661303224e-02 1.4801938076e-02 9.9999075512e-01 1.6012598990e-05 9.9993048731e-01 3.3320889884e-05 9.9991879604e-01 3.8230760834e-05 2.8971969150e-03 1.0000000000e+00
0.200 0.010 8.8459221879e-03 2.9274803724e-03 9.9998150990e-01 1.3074474071e-05 3.9248609683e-03 1.4473545665e-03 1.0000000000e+00 0.0000000000e+00 9.1527655385e-03 2.8450186134e-03 9.9998230747e-01 8.4628919570e-06 8.0564004602e-03 2.7447428677e-03 9.9998151024e-01 1.8489756675e-05 9.9989575487e-01 4.8173630831e-05 9.9986707446e-01 5.7057262833e-05 1.5679320320e-02 1.0000000000e+00
0.300 0.010 2.1618824452e-02 6.8254000333e-03 9.9999537748e-01 8.0064475324e-06 1.2208408793e-02 5.1113623460e-03 1.0000000000e+00 0.0000000000e+00 2.2088857823e-02 6.7401096345e-03 9.9997821170e-01 1.2529215350e-05 2.0316947717e-02 6.5680227603e-03 9.9998151024e-01 1.8489756675e-05 9.9202738870e-01 4.6673762747e-05 9.9090876522e-01 2.8833503896e-05 6.1739650555e-03 1.0000000000e+00
0.400 0.010 9.1000878092e-03 9.4788491924e-03 9.9998613243e-01 1.5331179809e-05 5.3841654371e-03 6.1827561170e-03 1.0000000000e+00 0.0000000000e+00 9.2763596108e-03 9.8742012052e-03 9.9999229807e-01 5.2514604528e-06 8.4659017757e-03 9.2706569293e-03 1.0000000000e+00 0.0000000000e+00 9.8094715571e-01 9.8146876566e-05 9.7771363374e-01 1.0866196830e-04 6.3535831869e-03 1.0000000000e+00
0.480 0.010 8.5286404610e-03 8.1119910763e-03 9.9998613243e-01 1.5331179809e-05 4.5129247010e-03 4.5662137396e-03 1.0000000000e+00 0.0000000000e+00 8.8272125166e-03 8.4642531291e-03 9.9997225780e-01 8.6333346876e-06 7.9065549944e-03 7.6393430211e-03 9.9999075512e-01 1.6012598990e-05 9.6305140005e-01 1.5643239194e-04 9.5710908049e-01 3.5585680292e-04 5.7242810726e-05 1.0000000000e+00
0.490 0.010 3.8541025424e-04 1.1957938002e-04 9.9997226485e-01 9.2450492761e-06 2.4745049075e-05 2.2648217325e-05 1.0000000000e+00 0.0000000000e+00 3.7640227542e-04 3.4763540297e-05 9.9997697497e-01 1.1012292267e-07 2.3200977876e-04 2.5290435395e-04 9.9998151024e-01 3.2025197980e-05 9.5998650440e-01 5.6328069824e-06 9.5362880878e-01 6.1441218000e-05 3.8869455457e-03 1.0000000000e+00
0.500 0.010 7.2246600030e-03 6.9192742331e-03 9.9998613243e-01 1.5331179809e-05 4.1226043147e-03 4.2244251145e-03 1.0000000000e+00 0.0000000000e+00 7.4959197191e-03 7.2072835756e-03 9.9996482638e-01 8.1320121951e-06 6.6087837918e-03 6.6986838060e-03 1.0000000000e+00 0.0000000000e+00 9.5704860551e-01 5.2922663356e-05 9.4948272649e-01 2.6069934039e-04 1.2278556824e-05 1.0000000000e+00
0.520 0.010 8.5734698951e-04 4.2714519787e-04 9.9996301980e-01 1.3074474071e-05 1.4029632439e-04 1.3460078090e-04 1.0000000000e+00 0.0000000000e+00 9.2066450574e-04 4.0455780295e-04 9.9996121548e-01 8.3282824720e-08 9.9713767122e-04 1.7415769921e-04 9.9996302049e-01 2.6148464654e-05 9.5019684531e-01 1.8319145827e-07 9.4156423744e-01 1.5982515457e-04 3.1827017665e-04 1.0000000000e+00
0.530 0.010 5.3140304983e-01 1.0388598555e-02 7.3337740140e-01 7.5050940471e-03 3.1832368672e-01 2.4032980044e-02 9.0647977941e-01 3.7166775460e-02 5.5607844264e-01 9.0579521664e-03 7.1383327956e-01 6.6044072038e-03 4.7333376110e-01 1.0928169438e-02 7.8284705273e-01 7.7143898227e-03 2.7252577925e-01 2.7036340033e-03 1.9568373216e-01 2.0162537552e-03 3.7029376626e-01 8.8235294118e-01
