# process with pid = 2734, launched at 2019-07-10 09:35:19.371402
# <j2> <train_ratio> <test_loss> <test_loss_err> <test_accuracy> <test_accuracy_err> <train_loss> <train_loss_err> <train_accuracy> <train_accuracy_err> <rest_loss> <rest_loss_err> <rest_accuracy> <rest_accuracy_err> <resampled_loss> <resampled_loss_err> <resampled_accuracy> <resampled_accuracy_err> <total_overlap> <total_overlap_err> <rest_overlap> <rest_overlap_err> <total_expr> <total_acc> 
0.000 0.01000 8.0606360752e-03 6.7898410077e-03 9.9999537748e-01 8.0064475324e-06 4.8209666274e-03 4.3614140394e-03 1.0000000000e+00 0.0000000000e+00 8.1934200537e-03 6.9193676371e-03 9.9999357338e-01 3.9108615420e-06 7.8576486994e-03 6.6509613016e-03 1.0000000000e+00 0.0000000000e+00 9.9999115725e-01 5.2415966702e-06 9.9998652913e-01 7.7677431163e-06 1.3006338850e-03 1.0000000000e+00
0.100 0.01000 1.0525467573e-02 6.5758240046e-03 1.0000000000e+00 0.0000000000e+00 5.2197671030e-03 4.1456198369e-03 1.0000000000e+00 0.0000000000e+00 1.0684314688e-02 6.6699770045e-03 9.9999499054e-01 2.1853658671e-06 9.9667105824e-03 6.1481039531e-03 9.9999075512e-01 1.6012598990e-05 9.9999325402e-01 2.9921079174e-06 9.9998977686e-01 4.5705363574e-06 1.3300776482e-03 1.0000000000e+00
0.200 0.01000 5.5652501760e-03 7.1332068421e-03 9.9999075495e-01 9.2450492761e-06 2.8667159872e-03 4.4503959801e-03 1.0000000000e+00 0.0000000000e+00 5.7681774138e-03 7.4749341870e-03 9.9999573183e-01 3.6171941627e-06 5.3034698867e-03 6.9154390174e-03 9.9998151024e-01 1.8489756675e-05 9.9999429820e-01 4.6997528683e-06 9.9999116862e-01 7.1707608125e-06 7.8724762425e-03 1.0000000000e+00
0.300 0.01000 5.1221472968e-03 2.2047964914e-03 9.9999075495e-01 1.6012895065e-05 2.4893246009e-03 1.3390501801e-03 1.0000000000e+00 0.0000000000e+00 5.2500935931e-03 2.2312942727e-03 9.9999589343e-01 2.2185360498e-06 4.8454324133e-03 2.1638591045e-03 9.9999075512e-01 1.6012598990e-05 9.9999469899e-01 3.0480039341e-06 9.9999145381e-01 4.3157629013e-06 6.6988915205e-04 1.0000000000e+00
0.400 0.01000 9.3973374460e-03 4.3091811899e-03 9.9999075495e-01 9.2450492761e-06 3.0778480577e-03 1.0667792570e-03 1.0000000000e+00 0.0000000000e+00 9.6284451377e-03 4.1167657069e-03 9.9998566056e-01 5.4478965063e-06 8.8303652592e-03 4.1420975762e-03 9.9998151024e-01 1.8489756675e-05 9.9998249786e-01 6.5913893594e-06 9.9997069666e-01 1.0718612532e-05 4.0478250012e-03 1.0000000000e+00
0.480 0.01000 6.0297769960e-04 1.2256695931e-04 9.9995839728e-01 8.0064475324e-06 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 2.9704004942e-04 1.8896027024e-05 9.9998130108e-01 2.8797819218e-08 2.7669677866e-04 2.5670239308e-04 9.9998151024e-01 1.8489756675e-05 9.9997792727e-01 7.3723682826e-10 9.9996184049e-01 5.2683010159e-08 0.0000000000e+00 1.0000000000e+00
0.490 0.01000 6.4398929680e-04 2.1474702825e-04 9.9995377475e-01 1.6012895065e-05 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 3.5727381242e-04 2.7375435141e-05 9.9997760735e-01 5.8133875861e-08 2.2940777944e-04 2.5573946423e-04 9.9999075512e-01 1.6012598990e-05 9.9997346033e-01 6.0736107227e-08 9.9995435252e-01 8.9102271181e-08 0.0000000000e+00 1.0000000000e+00
0.500 0.01000 4.3408610509e-04 2.1156599054e-04 9.9996764233e-01 1.5331179809e-05 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 4.1579451616e-04 2.0497205917e-05 9.9997290728e-01 1.1554157436e-07 2.5684919410e-04 2.3314909867e-04 9.9998151024e-01 1.8489756675e-05 9.9996831486e-01 1.4625846389e-07 9.9994518118e-01 2.1919864754e-07 0.0000000000e+00 1.0000000000e+00
0.520 0.01000 5.9571419843e-04 3.4532470732e-04 9.9994915223e-01 2.4019342597e-05 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 5.4431760884e-04 1.4912835149e-05 9.9996163507e-01 4.0769264744e-08 3.3848262728e-04 3.1047654088e-04 9.9997226536e-01 3.0661792678e-05 9.9995564002e-01 3.5790642069e-09 9.9992248639e-01 1.1132536057e-07 0.0000000000e+00 1.0000000000e+00
0.530 0.01000 3.5043744743e-01 1.4252595141e-02 8.6137510863e-01 3.8736287592e-03 1.4271302964e-02 5.4322318503e-03 1.0000000000e+00 0.0000000000e+00 4.0395204153e-01 1.2755562400e-02 8.4187315010e-01 3.5480597803e-03 2.3580328748e-01 1.3125941256e-02 9.1029694549e-01 3.6174182367e-03 8.6946277806e-01 1.0800303698e-02 6.8374535392e-01 7.0962307138e-03 1.5843976289e-02 1.0000000000e+00
0.540 0.01000 3.9017783850e-01 1.9851491635e-02 8.4602832683e-01 1.1664185057e-02 1.8993321690e-02 9.3184306335e-03 1.0000000000e+00 0.0000000000e+00 4.4684360459e-01 2.0028989305e-02 8.2391296017e-01 1.1221251145e-02 2.5468955562e-01 2.2675181479e-02 9.0153280083e-01 1.1049586724e-02 8.6361632688e-01 1.5920048687e-02 6.4782472025e-01 2.2442429486e-02 1.3455243781e-02 1.0000000000e+00
0.550 0.01000 3.7290795147e-01 2.5488196769e-02 8.5050293068e-01 1.1217665414e-02 1.6604784643e-02 6.7943028545e-03 1.0000000000e+00 0.0000000000e+00 4.2565809592e-01 2.7525450205e-02 8.3001623759e-01 1.3372081948e-02 2.4798412994e-01 1.5716277632e-02 9.0366836772e-01 8.0627212383e-03 8.6453688241e-01 9.1337506899e-03 6.6003152369e-01 2.6744106506e-02 1.1360553093e-02 1.0000000000e+00
0.600 0.01000 4.5149455220e-01 2.5383019336e-02 8.1018064826e-01 1.4419983205e-02 2.6383378077e-02 1.0399472020e-02 1.0000000000e+00 0.0000000000e+00 5.1169921465e-01 2.2529070129e-02 7.8431926075e-01 1.4624102003e-02 3.0277807266e-01 2.4227954599e-02 8.7681199615e-01 1.2177926309e-02 8.3074073389e-01 2.1189672170e-02 5.6863702200e-01 2.9248235482e-02 1.2622630224e-02 1.0000000000e+00
0.700 0.01000 6.1766494811e-01 9.3000701179e-03 7.0573932659e-01 5.6735610266e-03 9.3317056075e-02 1.3515077963e-02 1.0000000000e+00 0.0000000000e+00 6.6139437174e-01 1.9131174180e-02 6.8265260937e-01 3.0690881342e-03 4.6167563647e-01 1.0414852618e-02 7.9109348421e-01 9.9066582340e-03 6.9289324619e-01 1.8810936784e-02 3.6530376810e-01 6.1381172973e-03 1.1977832019e-01 9.6093750000e-01
0.800 0.01000 6.9375512004e-01 8.9819161618e-05 4.9867795795e-01 1.5769246702e-03 3.4945395589e-01 1.1859360779e-02 8.8453584559e-01 8.5691086148e-03 6.9367617005e-01 2.7731255293e-05 4.9883014120e-01 3.9154823984e-04 6.9355899096e-01 1.9426523091e-04 4.9960247023e-01 2.6522813191e-03 1.4666694618e-03 9.7227714712e-04 -2.3412715431e-03 7.8307278370e-04 3.5910522938e-01 8.7500000000e-01
0.900 0.01000 6.9385100901e-01 1.3485409195e-04 4.9822032801e-01 1.2120097406e-03 3.4336774051e-01 7.1485706557e-03 8.8246783088e-01 2.0798210271e-02 6.9374993201e-01 5.7734506349e-05 4.9931519164e-01 3.7823773772e-04 6.9366072118e-01 8.2618492157e-05 5.0025885659e-01 3.2297323513e-03 8.8354820997e-05 1.6449215623e-03 -1.3715642589e-03 7.5646984903e-04 3.4662139416e-01 9.1176470588e-01
1.000 0.01000 6.9375315309e-01 5.4306054845e-05 4.9855777231e-01 2.0497131177e-03 2.8954903036e-01 2.8062083248e-02 9.1911764706e-01 3.2050727526e-02 6.9367126170e-01 7.5657596880e-05 4.9968902968e-01 1.8388949178e-04 6.9352503121e-01 1.9164461387e-04 5.0088750832e-01 2.7377330107e-03 1.4891053401e-03 2.0315388055e-03 -6.2340904732e-04 3.6772752628e-04 3.5113626719e-01 9.1176470588e-01

