# process with pid = 63747, launched at 2019-10-06 00:54:38.435001
# <j2> <train_ratio> <test_loss> <test_loss_err> <test_accuracy> <test_accuracy_err> <train_loss> <train_loss_err> <train_accuracy> <train_accuracy_err> <rest_loss> <rest_loss_err> <rest_accuracy> <rest_accuracy_err> <resampled_loss> <resampled_loss_err> <resampled_accuracy> <resampled_accuracy_err> <total_overlap> <total_overlap_err> <rest_overlap> <rest_overlap_err> <total_expr> <total_acc> 
0.000 0.00300 2.1189466119e-02 0.0000000000e+00 9.9329542671e-01 0.0000000000e+00 4.1797757149e-06 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 2.1644357592e-02 0.0000000000e+00 9.9311834574e-01 0.0000000000e+00 1.7109742388e-02 0.0000000000e+00 9.9391859513e-01 0.0000000000e+00 9.7828094512e-01 0.0000000000e+00 9.8624391077e-01 0.0000000000e+00 2.6085507125e-04 1.0000000000e+00
0.400 0.00300 3.5457838327e-02 0.0000000000e+00 9.8978197243e-01 0.0000000000e+00 2.0804535598e-04 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 3.7044152617e-02 0.0000000000e+00 9.8916125298e-01 0.0000000000e+00 2.6870463043e-02 0.0000000000e+00 9.9231336211e-01 0.0000000000e+00 9.9103980739e-01 0.0000000000e+00 9.7833799992e-01 0.0000000000e+00 2.8293533251e-04 1.0000000000e+00
0.550 0.00300 2.5943675637e-01 0.0000000000e+00 8.9332637089e-01 0.0000000000e+00 4.6981271356e-02 0.0000000000e+00 9.9218750000e-01 0.0000000000e+00 2.7048695087e-01 0.0000000000e+00 8.8793164492e-01 0.0000000000e+00 1.8925793469e-01 0.0000000000e+00 9.2388788726e-01 0.0000000000e+00 9.1981665374e-01 0.0000000000e+00 7.7586094058e-01 0.0000000000e+00 4.6981271356e-02 9.9218750000e-01
1.000 0.00300 1.2544672191e-01 0.0000000000e+00 9.5752266017e-01 0.0000000000e+00 7.6665156521e-03 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.3147369027e-01 0.0000000000e+00 9.5560312271e-01 0.0000000000e+00 9.1131165624e-02 0.0000000000e+00 9.6996473645e-01 0.0000000000e+00 9.6814534040e-01 0.0000000000e+00 9.1121504797e-01 0.0000000000e+00 6.2312735245e-03 1.0000000000e+00
# process with pid = 43153, launched at 2019-10-06 16:22:47.578774
# <j2> <train_ratio> <test_loss> <test_loss_err> <test_accuracy> <test_accuracy_err> <train_loss> <train_loss_err> <train_accuracy> <train_accuracy_err> <rest_loss> <rest_loss_err> <rest_accuracy> <rest_accuracy_err> <resampled_loss> <resampled_loss_err> <resampled_accuracy> <resampled_accuracy_err> <total_overlap> <total_overlap_err> <rest_overlap> <rest_overlap_err> <total_expr> <total_acc> 
0.425 0.00300 5.8628140017e-02 4.9111340195e-03 9.8425069947e-01 5.2862981730e-04 1.0751097579e-03 3.1447777292e-04 1.0000000000e+00 0.0000000000e+00 6.0551363975e-02 3.9626173675e-03 9.8384404182e-01 3.5595893860e-04 4.8279156908e-02 9.1832261533e-03 9.8673372687e-01 2.1456829547e-03 9.6054856656e-01 1.5942877313e-02 9.6770434673e-01 7.1216210377e-04 1.3895875309e-03 1.0000000000e+00
0.450 0.00300 7.5448762625e-02 5.1081590354e-03 9.7840998466e-01 1.8630977707e-03 2.3371241987e-03 5.9904158115e-04 1.0000000000e+00 0.0000000000e+00 8.0278266221e-02 5.6893043220e-03 9.7711527348e-01 2.2864937782e-03 5.7254677638e-02 5.2464026958e-03 9.8387460702e-01 1.9340156827e-03 9.8201673680e-01 2.9040839176e-03 9.5424437342e-01 4.5735103290e-03 2.9361657798e-03 1.0000000000e+00
0.475 0.00300 1.1672389507e-01 6.5248459578e-04 9.6621604198e-01 3.4489872226e-04 8.7527008727e-03 4.3466407806e-04 1.0000000000e+00 0.0000000000e+00 1.2213977799e-01 2.9582902789e-04 9.6451631188e-01 4.5618414879e-04 8.8926926255e-02 2.5033429265e-03 9.7495772027e-01 1.9447602143e-04 9.6058381193e-01 1.3109896045e-02 9.2904464088e-01 9.1241355314e-04 9.2670200393e-03 1.0000000000e+00
0.500 0.00300 1.3955764472e-01 3.3986568451e-03 9.5351280960e-01 8.7675189211e-04 1.0530414060e-02 5.5654905736e-04 1.0000000000e+00 0.0000000000e+00 1.4718330652e-01 2.8879120946e-03 9.5100173354e-01 5.1507353783e-04 1.0325197875e-01 2.5553256273e-03 9.6660921924e-01 5.0391853066e-04 9.6465017760e-01 5.1402521296e-04 9.0201202732e-01 1.0306873220e-03 1.1086963117e-02 1.0000000000e+00
0.525 0.00300 1.7191065103e-01 1.1909976602e-03 9.3373754174e-01 6.4789386145e-04 1.9448104315e-02 7.1889720857e-05 1.0000000000e+00 0.0000000000e+00 1.8226426840e-01 2.3183077574e-03 9.2939096689e-01 7.0220232010e-04 1.2721529603e-01 1.5940219164e-03 9.5207401693e-01 4.1151555916e-04 9.4742508325e-01 2.5633723605e-03 8.5878638483e-01 1.4042468320e-03 1.9519994035e-02 1.0000000000e+00
0.575 0.00300 2.2633547336e-01 2.6114806533e-03 8.9941850720e-01 2.7011694323e-03 3.4815744497e-02 4.7575896606e-03 1.0000000000e+00 0.0000000000e+00 2.3905450851e-01 2.4341270328e-03 8.9359700680e-01 3.0879974365e-03 1.6611657292e-01 1.7008110881e-03 9.2725200009e-01 2.6141445311e-03 9.2529251710e-01 4.2220576063e-03 7.8719510081e-01 6.1761266981e-03 3.4713059664e-02 1.0000000000e+00
0.600 0.00300 1.4104402810e-01 1.5623345971e-03 9.4530615402e-01 1.7341636689e-03 1.3295616023e-02 3.2465625554e-04 1.0000000000e+00 0.0000000000e+00 1.4817687869e-01 6.4195692539e-04 9.4262894988e-01 1.8768012524e-03 1.0816289857e-01 3.7773586810e-03 9.5887745432e-01 1.1711539412e-04 9.4993955337e-01 8.7071288395e-03 8.8527260799e-01 3.7536180228e-03 1.2039443478e-02 1.0000000000e+00
0.625 0.00300 3.1228541397e-02 1.3804892078e-03 9.9413994507e-01 3.2233525445e-05 5.6350810337e-04 1.3086220133e-04 1.0000000000e+00 0.0000000000e+00 3.2336228527e-02 1.7967699096e-03 9.9401950836e-01 4.7504901886e-05 2.5287570432e-02 1.7971061170e-03 9.9541853174e-01 1.6116797356e-04 9.9203014738e-01 2.9915301333e-03 9.8805827254e-01 9.4299376199e-05 2.2181076929e-04 1.0000000000e+00
