# process with pid = 62054, launched at 2019-06-30 14:53:32.848407
# <j2> <train_ratio> <test_loss> <test_loss_err> <test_accuracy> <test_accuracy_err> <train_loss> <train_loss_err> <train_accuracy> <train_accuracy_err> <rest_loss> <rest_loss_err> <rest_accuracy> <rest_accuracy_err> <resampled_loss> <resampled_loss_err> <resampled_accuracy> <resampled_accuracy_err> <total_overlap> <total_overlap_err> <rest_overlap> <rest_overlap_err> <total_expr> <total_acc> 
0.000 0.010 1.7338589532e-02 2.5986872047e-03 9.9977349629e-01 3.1279842410e-04 1.9553906284e-02 1.7894101034e-03 1.0000000000e+00 0.0000000000e+00 1.6188154727e-02 2.6727939094e-03 9.9995387967e-01 5.0732641278e-05 2.9517031740e-02 2.8728823643e-03 9.9765180090e-01 3.2072666844e-03 9.9634375990e-01 4.3321801389e-03 9.9999694360e-01 3.2204666270e-06 1.9827453420e-02 1.0000000000e+00
0.100 0.010 1.0892596911e-02 2.6927223349e-03 9.9987519183e-01 2.1617408337e-04 1.1265367502e-02 3.0923570272e-03 1.0000000000e+00 0.0000000000e+00 9.9538331676e-03 2.5504181996e-03 9.9996502064e-01 5.7417233248e-05 2.0371455234e-02 3.9762754096e-03 9.9889985948e-01 1.7773984879e-03 9.9837368449e-01 2.3336143796e-03 9.9998902806e-01 6.6563390735e-06 6.8782251328e-03 1.0000000000e+00
0.200 0.010 1.0085140006e-02 1.7133855608e-03 9.9934822403e-01 5.1463876972e-04 1.0140682454e-02 2.1712947959e-03 1.0000000000e+00 0.0000000000e+00 9.1735319299e-03 1.3720371546e-03 9.9973596945e-01 1.6026868875e-04 2.1868157201e-02 2.9121159543e-03 9.9758708675e-01 2.1813799301e-03 9.9583742011e-01 3.4172534693e-03 9.9996224503e-01 2.4487812828e-05 1.1596089229e-02 1.0000000000e+00
0.350 0.010 9.0209694463e-04 7.8420664937e-05 9.9991679456e-01 9.2450492761e-06 1.2198408399e-06 9.3502724353e-07 1.0000000000e+00 0.0000000000e+00 9.3901892760e-04 9.0533539338e-05 9.9991165683e-01 4.9769793636e-07 7.9743720562e-04 3.3865205790e-04 9.9992604097e-01 0.0000000000e+00 9.2230719036e-01 2.1408875573e-05 8.7714015695e-01 2.0389917632e-04 1.0989606380e-07 1.0000000000e+00
0.375 0.010 3.9104903117e-03 4.2842544878e-04 9.9950076734e-01 6.1324719234e-05 1.9791577415e-05 7.9970403075e-06 1.0000000000e+00 0.0000000000e+00 4.6919721709e-03 1.3308515232e-04 9.9939486604e-01 2.3386868510e-06 3.4397925483e-03 4.2925421074e-04 9.9971340877e-01 4.0297490418e-05 8.2810500215e-01 2.5618179934e-05 7.5994523036e-01 2.8870603548e-04 1.8049962819e-05 1.0000000000e+00
0.390 0.010 9.2151635326e-03 2.5350336230e-04 9.9867333543e-01 4.7815766659e-05 2.8611160815e-05 1.4523883225e-05 1.0000000000e+00 0.0000000000e+00 1.1494260761e-02 2.6207587569e-04 9.9829400103e-01 1.4654304764e-05 6.6014445620e-03 8.7661058787e-04 9.9926965461e-01 8.4224850040e-05 7.6857357810e-01 5.0330744086e-05 6.8427133049e-01 3.0663725949e-04 5.7398807257e-05 1.0000000000e+00
0.400 0.010 1.4422394335e-02 1.0402523732e-03 9.9765638001e-01 1.6660338083e-04 8.2623788330e-05 2.1498260819e-05 1.0000000000e+00 0.0000000000e+00 1.8440980400e-02 1.2753508894e-04 9.9693827279e-01 1.1112076564e-05 1.0038780747e-02 7.1582245227e-04 9.9873345167e-01 1.1509780710e-04 7.1487063843e-01 1.8837539440e-06 6.1678662752e-01 2.4986452154e-04 3.9923663280e-05 1.0000000000e+00
0.410 0.010 2.2190344986e-02 9.8399126002e-04 9.9613094688e-01 1.4404190273e-04 1.1426508172e-04 4.6217473819e-05 1.0000000000e+00 0.0000000000e+00 2.9969770665e-02 9.0607386022e-04 9.9471166412e-01 5.4629731444e-05 1.4544430887e-02 2.9644031685e-03 9.9822498336e-01 7.3959026699e-05 6.6057077263e-01 3.3760010538e-05 5.5110677611e-01 6.0593838957e-04 2.8732889405e-05 1.0000000000e+00
0.420 0.010 3.3046216704e-02 1.4763336932e-03 9.9370412144e-01 2.9598599548e-04 1.8655924032e-04 1.3088399345e-04 1.0000000000e+00 0.0000000000e+00 4.5318868363e-02 6.8571784869e-04 9.9127254393e-01 1.4440349985e-04 1.9312598277e-02 3.4377107495e-03 9.9710635308e-01 3.0536100445e-04 6.1046271352e-01 1.2272579532e-03 4.8675287080e-01 5.6858345918e-04 3.0825418071e-04 1.0000000000e+00
0.450 0.010 7.4547011405e-02 2.9958009943e-03 9.8199064401e-01 1.0922469164e-03 4.2789122745e-05 1.5371494308e-05 1.0000000000e+00 0.0000000000e+00 1.0464701874e-01 4.7791312490e-03 9.7428632802e-01 1.0949956172e-03 3.1296475790e-02 1.3920421506e-03 9.9240071001e-01 4.1220133144e-04 4.8361392146e-01 1.6326883207e-03 3.4214640568e-01 2.1917849357e-03 1.4798715711e-04 1.0000000000e+00
