# process with pid = 9963, launched at 2019-07-06 08:43:40.906822
# <j2> <train_ratio> <test_loss> <test_loss_err> <test_accuracy> <test_accuracy_err> <train_loss> <train_loss_err> <train_accuracy> <train_accuracy_err> <rest_loss> <rest_loss_err> <rest_accuracy> <rest_accuracy_err> <resampled_loss> <resampled_loss_err> <resampled_accuracy> <resampled_accuracy_err> <total_overlap> <total_overlap_err> <rest_overlap> <rest_overlap_err> <total_expr> <total_acc> 
0.000 0.010 1.1064557203e-02 1.0527021620e-02 9.9996301980e-01 3.9943178068e-05 9.3757156283e-03 9.2196077149e-03 1.0000000000e+00 0.0000000000e+00 1.1225640507e-02 1.0906428504e-02 9.9995637872e-01 4.1752321130e-05 1.2482676655e-02 9.5516692535e-03 9.9985208195e-01 1.0459385862e-04 9.9968170054e-01 8.7220993962e-06 9.9995247918e-01 1.1137031464e-05 3.7133209407e-03 1.0000000000e+00
0.100 0.010 1.4682218743e-02 4.1135610147e-03 9.9965485149e-01 4.8811369865e-04 1.3745401055e-02 5.8847552773e-03 1.0000000000e+00 0.0000000000e+00 1.4042206694e-02 3.4956185732e-03 9.9993510494e-01 9.9169067978e-05 2.3232282760e-02 9.2304703909e-03 9.9742376057e-01 3.5387588832e-03 9.9636018194e-01 4.7691355282e-03 9.9994490050e-01 8.1733814560e-05 2.0416175947e-02 1.0000000000e+00
0.200 0.010 1.0323404082e-02 1.1577058743e-02 9.9998150990e-01 1.5097102249e-05 9.1445701255e-03 1.1724766287e-02 1.0000000000e+00 0.0000000000e+00 1.0129982499e-02 1.1301468083e-02 9.9998893885e-01 2.2034546591e-05 1.6220753392e-02 1.8276422247e-02 9.9991371447e-01 1.7432309770e-05 9.9973810022e-01 8.4194491818e-06 9.9994944553e-01 1.9856640471e-05 2.5714503601e-02 1.0000000000e+00
0.350 0.010 8.3167662766e-04 1.7377590189e-04 9.9995069307e-01 1.7432632095e-05 2.8086223756e-04 7.4182940807e-05 1.0000000000e+00 0.0000000000e+00 1.0839204141e-03 8.1067165010e-05 9.9992459526e-01 4.1211785246e-07 1.5968102186e-03 2.7010141730e-04 9.9988906146e-01 1.1102230246e-16 9.2228069812e-01 1.9886201892e-05 8.7658878016e-01 3.0598680104e-04 2.6683695614e-04 1.0000000000e+00
0.375 0.010 4.8175533302e-03 1.0161539182e-03 9.9952542080e-01 1.0052146041e-04 1.1086649417e-03 3.0083853750e-04 1.0000000000e+00 0.0000000000e+00 6.0226870275e-03 8.3026945048e-04 9.9938422361e-01 3.5540516051e-05 4.8913911451e-03 8.6450338659e-04 9.9965485788e-01 1.2570617345e-04 8.2792842234e-01 2.9250790971e-04 7.5942600135e-01 6.6157426098e-04 8.0730835907e-04 1.0000000000e+00
0.390 0.010 1.1658067194e-02 7.0669565093e-04 9.9851462875e-01 7.1346121719e-05 1.0804865742e-03 1.4280235308e-04 1.0000000000e+00 0.0000000000e+00 1.3204339008e-02 6.6416502505e-04 9.9827564980e-01 1.9874053688e-05 6.4094567982e-03 5.0376355228e-04 9.9934669526e-01 9.2243112856e-05 7.6685544310e-01 1.0622847721e-03 6.8057690660e-01 8.4494159334e-04 9.4682443887e-04 1.0000000000e+00
0.400 0.010 1.5196598756e-02 9.0005281676e-04 9.9773804461e-01 1.0276385063e-04 1.2161366176e-03 3.2962797613e-04 1.0000000000e+00 0.0000000000e+00 1.9964703773e-02 4.6158924367e-04 9.9692704758e-01 1.2015304829e-05 1.0996316249e-02 2.3832882673e-03 9.9875502305e-01 1.2202616839e-04 7.1485723193e-01 2.2144931842e-05 6.1689770232e-01 2.7997823494e-05 9.5084263012e-04 1.0000000000e+00
0.410 0.010 2.3402531942e-02 1.3335704392e-03 9.9588287139e-01 2.3886523030e-04 2.0912745968e-03 5.6567942245e-04 1.0000000000e+00 0.0000000000e+00 3.0378835881e-02 6.1022302058e-04 9.9465844783e-01 1.4495893134e-04 1.5091390349e-02 1.6049165297e-03 9.9795380026e-01 1.2202616839e-04 6.6007949079e-01 3.9215455711e-04 5.5030748951e-01 5.5730605722e-04 3.5515902564e-03 1.0000000000e+00
0.420 0.010 3.5989246021e-02 1.7035232959e-03 9.9350997541e-01 2.2796124486e-04 3.0073925542e-03 3.6519165697e-04 1.0000000000e+00 0.0000000000e+00 4.6769959274e-02 1.3330031715e-03 9.9124837054e-01 6.1140357577e-05 2.3348489776e-02 2.2735646116e-03 9.9684441486e-01 3.2566242175e-04 6.0989165653e-01 1.3992621246e-03 4.8534183699e-01 1.3583463346e-03 3.0090967193e-03 1.0000000000e+00
0.450 0.010 9.7894109786e-02 4.1911381426e-03 9.7773175798e-01 8.0487993433e-04 8.2473017586e-03 1.7522844705e-03 1.0000000000e+00 0.0000000000e+00 1.3397298074e-01 4.3831828763e-03 9.6877360163e-01 4.9570746821e-04 4.8952636619e-02 1.8960065780e-03 9.9081675418e-01 6.1311195501e-04 4.6575948930e-01 4.9472625470e-03 3.2141835089e-01 2.2742742510e-03 8.3110332489e-03 1.0000000000e+00
