# process with pid = 60758, launched at 2019-06-30 14:52:12.383569
# <j2> <train_ratio> <test_loss> <test_loss_err> <test_accuracy> <test_accuracy_err> <train_loss> <train_loss_err> <train_accuracy> <train_accuracy_err> <rest_loss> <rest_loss_err> <rest_accuracy> <rest_accuracy_err> <resampled_loss> <resampled_loss_err> <resampled_accuracy> <resampled_accuracy_err> <total_overlap> <total_overlap_err> <rest_overlap> <rest_overlap_err> <total_expr> <total_acc> 
0.000 0.010 1.5835327795e-03 1.9678297860e-03 9.9951463491e-01 6.9274666262e-04 1.0592452043e-05 1.0102546732e-05 1.0000000000e+00 0.0000000000e+00 1.6405815201e-03 2.0686042694e-03 9.9951801791e-01 6.6370521994e-04 1.8762596446e-03 1.2703113184e-03 9.9952851120e-01 5.6469484706e-04 9.9908110481e-01 1.0328053042e-03 9.9899184347e-01 1.5171385417e-03 9.0345740318e-05 1.0000000000e+00
0.100 0.010 4.8566953046e-03 2.7697890652e-03 9.9855314979e-01 1.1248132732e-03 3.4331672797e-05 5.8037664389e-05 1.0000000000e+00 0.0000000000e+00 5.0321721053e-03 2.8426020774e-03 9.9855218405e-01 1.0794556531e-03 3.7039378949e-03 2.3859149377e-03 9.9901079802e-01 6.9840145663e-04 9.9574588990e-01 2.9811943282e-03 9.9477465412e-01 2.9900692009e-03 2.1036933617e-07 1.0000000000e+00
0.200 0.010 4.6104236098e-03 3.4463245290e-03 9.9840985152e-01 1.3576694032e-03 8.2650224158e-06 8.2679399422e-06 1.0000000000e+00 0.0000000000e+00 4.4435965204e-03 2.6275873224e-03 9.9857015477e-01 9.5486026557e-04 3.4886931244e-03 2.4892561423e-03 9.9886287996e-01 8.0228287847e-04 9.9742199077e-01 1.2904621972e-03 9.9696201861e-01 1.5996997582e-03 0.0000000000e+00 1.0000000000e+00
0.350 0.010 6.0027349973e-03 1.5142373968e-03 9.9821108297e-01 4.4093651690e-04 8.5554578391e-06 5.1246086670e-06 1.0000000000e+00 0.0000000000e+00 6.2263005277e-03 1.1005446524e-03 9.9813248955e-01 5.2418604145e-04 3.9829236048e-03 1.3042780009e-03 9.9885363509e-01 3.5757487623e-04 9.1698725782e-01 7.8713710564e-04 8.7085268792e-01 1.0788891080e-03 9.8720192909e-07 1.0000000000e+00
0.375 0.010 1.4534931397e-02 8.8636309421e-04 9.9729120056e-01 2.3552205319e-04 3.2667344556e-05 4.0263013696e-05 1.0000000000e+00 0.0000000000e+00 1.6641994511e-02 4.0583599145e-04 9.9682264226e-01 5.2988158780e-04 8.0481105251e-03 1.3903623711e-03 9.9816026921e-01 2.9161693469e-04 8.2247381533e-01 1.6556686566e-03 7.5192292273e-01 1.2469814547e-03 9.9574822343e-07 1.0000000000e+00
0.390 0.010 2.5236646645e-02 1.8615088442e-03 9.9481814988e-01 4.7292290290e-04 3.8518255451e-05 4.6212864555e-05 1.0000000000e+00 0.0000000000e+00 3.1381434639e-02 2.7174787482e-03 9.9389381144e-01 5.2601349270e-04 1.7071261536e-02 2.7109686769e-03 9.9642223208e-01 7.0570583651e-04 7.6112557424e-01 1.1758080255e-03 6.7448157084e-01 1.1152003680e-03 9.0206369350e-05 1.0000000000e+00
0.400 0.010 3.3413009718e-02 2.4805877829e-03 9.9417099643e-01 1.6967813988e-03 6.6940687248e-05 3.2655459516e-05 1.0000000000e+00 0.0000000000e+00 4.1843286478e-02 1.5887171787e-03 9.9292966862e-01 1.7834063360e-03 2.0130472258e-02 4.6460506038e-03 9.9642223208e-01 1.6910547890e-03 7.0863374580e-01 1.6972640214e-03 6.0857431533e-01 2.6656433394e-03 4.1547944420e-05 1.0000000000e+00
0.410 0.010 4.6849408187e-02 2.4111784497e-03 9.9213708559e-01 6.2966523242e-04 1.0897268567e-04 6.0467514161e-05 1.0000000000e+00 0.0000000000e+00 5.7252413238e-02 2.9019064867e-03 9.9093396961e-01 6.1558561225e-04 2.5862619281e-02 1.2637772804e-03 9.9531284668e-01 7.8287254258e-04 6.5470587757e-01 8.7897906886e-04 5.4359872311e-01 1.3375881189e-03 1.6779825091e-04 1.0000000000e+00
0.420 0.010 6.0469958000e-02 6.0371893689e-03 9.8902612651e-01 2.0608996163e-03 2.4556528660e-04 1.2925243368e-04 1.0000000000e+00 0.0000000000e+00 7.8148852094e-02 7.8840663848e-03 9.8641635462e-01 2.4774966893e-03 3.5774817690e-02 2.8130129487e-03 9.9314030027e-01 7.0090568083e-04 6.0323686640e-01 7.8630232392e-04 4.7877651594e-01 3.3953010990e-03 1.6893008433e-04 1.0000000000e+00
0.450 0.010 1.4462678134e-01 6.2200298043e-03 9.6977793392e-01 2.5566364309e-03 2.6109828323e-03 9.1837285338e-04 1.0000000000e+00 0.0000000000e+00 1.8808987889e-01 7.6567564738e-03 9.6096941680e-01 2.7454427015e-03 8.2638330758e-02 3.7018047209e-03 9.8239775165e-01 2.3717392586e-03 4.5885773335e-01 4.7068164161e-03 3.1414465372e-01 3.2631898944e-03 1.3248394243e-03 1.0000000000e+00
0.475 0.010 2.6203304529e-01 1.1969828277e-02 9.3354196328e-01 3.6442472689e-03 7.5833365554e-03 2.0482304110e-03 1.0000000000e+00 0.0000000000e+00 3.4366956496e-01 1.0066712260e-02 9.1151637107e-01 3.0115778396e-03 1.3424223289e-01 6.9903400047e-03 9.6819761852e-01 2.2355025760e-03 3.3802906398e-01 3.4081447318e-03 1.9200958303e-01 2.5412940061e-03 9.8999412730e-03 1.0000000000e+00
0.500 0.010 3.9471981674e-01 7.0418607367e-03 8.7565870976e-01 5.6169038508e-03 2.5626775343e-02 5.6995290794e-03 1.0000000000e+00 0.0000000000e+00 5.0945135078e-01 7.3465594178e-03 8.3606353970e-01 5.5274549881e-03 2.0157526433e-01 3.1110570051e-03 9.4357850751e-01 3.5832342243e-03 2.4567850444e-01 1.0106217740e-02 1.0302393699e-01 2.0837039659e-03 2.8119364753e-02 1.0000000000e+00
0.525 0.010 5.3949949145e-01 7.2800657280e-03 7.7875672577e-01 5.3108362396e-03 5.8141623624e-02 1.4933022949e-02 1.0000000000e+00 0.0000000000e+00 6.7605936456e-01 1.7508894795e-02 7.1443155022e-01 4.7685628676e-03 2.8619547188e-01 1.1666630308e-02 8.9748354412e-01 6.9535928719e-03 1.5603560857e-01 7.5893770466e-03 3.9638483166e-02 2.3901381676e-03 4.7156788409e-02 1.0000000000e+00
0.550 0.010 6.4334249496e-01 5.7651544946e-03 6.6934156759e-01 4.2497270199e-03 9.5253704116e-02 2.0510701507e-02 9.7794117647e-01 2.4386946988e-02 7.6045711635e-01 1.3249567109e-02 5.9993542296e-01 1.7633876968e-03 3.5814478248e-01 1.0303723217e-02 8.3876007692e-01 6.3353458870e-03 3.9617169527e-02 8.4672883195e-03 -6.9749825538e-03 2.9669789457e-03 8.2676604390e-02 9.7058823529e-01
0.575 0.010 5.9365153313e-01 6.5270178054e-03 6.9935099754e-01 6.0861220386e-03 8.3131603897e-02 2.2395682135e-02 9.8483455882e-01 1.5179360813e-02 6.7869119393e-01 6.8620429742e-03 6.5273773829e-01 8.5537628742e-03 3.2913285494e-01 1.7110904920e-02 8.4849493381e-01 6.6302730902e-03 8.1025962142e-02 1.4222854654e-02 5.0218835656e-02 1.2673495920e-02 1.0435092449e-01 9.6875000000e-01
0.600 0.010 3.3601949364e-01 1.6417953700e-02 9.0002865965e-01 8.1869322326e-03 1.3838960789e-02 3.2092476048e-03 1.0000000000e+00 0.0000000000e+00 4.2631243786e-01 1.1450133142e-02 8.7057892903e-01 6.0756124951e-03 1.6863497347e-01 1.2279708890e-02 9.5474632054e-01 5.1546559965e-03 2.6623513246e-01 2.1241099056e-03 2.0969542054e-01 1.9865252756e-03 1.2425867841e-02 1.0000000000e+00
0.610 0.010 1.8364937976e-01 6.8324443199e-03 9.5687184513e-01 3.2136754074e-03 5.1919176476e-03 1.1682860514e-03 1.0000000000e+00 0.0000000000e+00 2.4227110349e-01 8.8842701757e-03 9.4359117575e-01 4.1216233776e-03 8.7114864960e-02 8.4590749817e-03 9.7959655351e-01 3.8857863412e-03 3.8603212484e-01 4.5065871537e-03 3.2598098506e-01 5.5660007839e-03 3.1493650749e-03 1.0000000000e+00
0.620 0.010 6.3030872494e-02 6.3143876638e-03 9.8829576762e-01 1.7673768221e-03 2.8358624513e-04 1.8433909533e-04 1.0000000000e+00 0.0000000000e+00 8.5998996349e-02 6.7546227722e-03 9.8489286177e-01 1.8959698466e-03 2.9884045478e-02 2.4633738926e-03 9.9423119592e-01 2.9234872237e-04 6.1096597260e-01 2.9885247948e-03 5.4940615686e-01 3.8431548529e-03 3.6387232831e-04 1.0000000000e+00
0.700 0.010 6.2117398775e-03 3.3168059052e-03 9.9862711018e-01 1.0547766625e-03 1.9809874857e-05 2.4096109976e-05 1.0000000000e+00 0.0000000000e+00 7.8063569772e-03 2.8442460392e-03 9.9859891433e-01 1.0959545559e-03 5.9147455613e-03 3.5790019269e-03 9.9878892094e-01 8.3812865756e-04 9.2533320720e-01 2.0110389664e-03 9.2213647865e-01 2.9185072993e-03 6.0920603573e-05 1.0000000000e+00
0.800 0.010 2.2816827521e-02 2.3306369016e-03 9.9666715974e-01 2.8774983817e-04 2.0212573145e-04 2.3470683792e-05 1.0000000000e+00 0.0000000000e+00 2.4178471878e-02 1.3066562182e-03 9.9648197019e-01 3.7049887046e-05 2.3001019843e-02 1.2727919891e-03 9.9682900673e-01 3.3320060075e-04 8.6367670787e-01 6.9846923745e-04 8.4969607463e-01 1.7310352972e-04 3.9451965131e-04 1.0000000000e+00
0.900 0.010 1.0238724574e-01 7.6013712838e-03 9.7517242017e-01 6.4016542468e-04 2.8869336820e-03 1.0111046809e-03 1.0000000000e+00 0.0000000000e+00 1.1163220923e-01 5.5556957950e-03 9.7341245451e-01 1.0626342269e-03 8.5726493970e-02 4.5224709294e-03 9.7938392131e-01 9.6519363480e-04 6.9950639210e-01 3.3840817421e-03 6.7967336123e-01 3.7410335324e-03 3.3623750787e-03 1.0000000000e+00
1.000 0.010 1.3638725504e-01 7.8617935585e-03 9.5637261247e-01 1.5339261392e-03 6.3234280096e-03 2.0136984372e-03 1.0000000000e+00 0.0000000000e+00 1.4961583164e-01 7.8472439254e-03 9.5190269573e-01 1.6175796134e-03 1.0830210522e-01 6.0881048385e-03 9.6568301161e-01 1.6514986076e-03 5.4239827412e-01 2.4702928617e-02 5.1642857210e-01 2.4979015081e-02 4.5637837611e-03 1.0000000000e+00

