# process with pid = 57735, launched at 2019-06-30 21:08:44.365460
# <j2> <train_ratio> <test_loss> <test_loss_err> <test_accuracy> <test_accuracy_err> <train_loss> <train_loss_err> <train_accuracy> <train_accuracy_err> <rest_loss> <rest_loss_err> <rest_accuracy> <rest_accuracy_err> <resampled_loss> <resampled_loss_err> <resampled_accuracy> <resampled_accuracy_err> <total_overlap> <total_overlap_err> <rest_overlap> <rest_overlap_err> <total_expr> <total_acc> 
0.000 0.010 5.9956164099e-02 1.0607839033e-02 9.8873952998e-01 2.9668110731e-03 2.2994530853e-02 1.7632035737e-03 1.0000000000e+00 0.0000000000e+00 6.0181418726e-02 1.0137269048e-02 9.8868493700e-01 2.8290957266e-03 6.0177402571e-02 1.1604310530e-02 9.8947008357e-01 2.9445046353e-03 9.7558632450e-01 1.5535894801e-03 9.7191986620e-01 3.6488191657e-03 2.3573918268e-02 1.0000000000e+00
0.100 0.010 5.0564091653e-02 7.0737030190e-03 9.9097683191e-01 3.2445513277e-03 2.0002890378e-02 3.1671592480e-03 1.0000000000e+00 0.0000000000e+00 5.1119197342e-02 7.4250559508e-03 9.9076708539e-01 3.0171893546e-03 5.0645137206e-02 2.5113838138e-03 9.9170734413e-01 1.5466048727e-03 9.7757240500e-01 6.5649018801e-03 9.7506152801e-01 6.7191000537e-03 2.3046322167e-02 1.0000000000e+00
0.200 0.010 7.9186409712e-02 7.0132889637e-03 9.8508311299e-01 2.6204578056e-03 3.7129738368e-02 3.3858301826e-03 1.0000000000e+00 0.0000000000e+00 8.0728541057e-02 6.8457179909e-03 9.8450796405e-01 2.4881183047e-03 7.7726772055e-02 9.2801297281e-03 9.8652096738e-01 2.9059521827e-03 9.6280828157e-01 5.6410113951e-03 9.5746986070e-01 8.0402567037e-03 4.0980812162e-02 1.0000000000e+00
0.350 0.010 6.2608442269e-02 1.1396328518e-02 9.8617865133e-01 4.3029621681e-03 2.0354364766e-02 4.0964950200e-03 1.0000000000e+00 0.0000000000e+00 6.3118920818e-02 1.0740689946e-02 9.8584368776e-01 4.1563969882e-03 5.7633538730e-02 1.0873550036e-02 9.8912802308e-01 3.7148309381e-03 8.8785273480e-01 7.3189940483e-03 8.3967601697e-01 7.3433298655e-03 3.2924000174e-02 1.0000000000e+00
0.375 0.010 6.3879488036e-02 1.5566287152e-02 9.8549914021e-01 5.5753147131e-03 2.2066118196e-02 7.6506128194e-03 1.0000000000e+00 0.0000000000e+00 6.6595504680e-02 1.5980832547e-02 9.8468423643e-01 5.6353618492e-03 5.6265481748e-02 1.3918330138e-02 9.8888765624e-01 4.5314995018e-03 7.9589442454e-01 8.6556000631e-03 7.2401520124e-01 9.0349229173e-03 2.0425740629e-02 1.0000000000e+00
0.390 0.010 9.1139949858e-02 2.0064283415e-02 9.7672558845e-01 7.7650420392e-03 3.4677839372e-02 1.0407785049e-02 1.0000000000e+00 0.0000000000e+00 9.6307365713e-02 2.1882902812e-02 9.7454158961e-01 8.6052846103e-03 8.0021758564e-02 1.6115217442e-02 9.8239775165e-01 5.9749098691e-03 7.1935790474e-01 1.5707584476e-02 6.3366843016e-01 1.6910508697e-02 3.8922950625e-02 1.0000000000e+00
0.400 0.010 7.0357127115e-02 1.2232581264e-02 9.8529574913e-01 3.8499248069e-03 2.3945643334e-02 7.4617399434e-03 1.0000000000e+00 0.0000000000e+00 7.6686782323e-02 1.1538550053e-02 9.8322040215e-01 3.8369665945e-03 6.1906409450e-02 1.2762255828e-02 9.8849012647e-01 3.1255209596e-03 6.8708927073e-01 7.2696570691e-03 5.8911430451e-01 7.5416783476e-03 2.6587199420e-02 1.0000000000e+00
0.410 0.010 8.1050928682e-02 9.4104392626e-03 9.8240204870e-01 2.7699492950e-03 2.7910039760e-02 8.0124309108e-03 1.0000000000e+00 0.0000000000e+00 8.9619629485e-02 1.0256274828e-02 9.7998269422e-01 2.9467600640e-03 6.6884507425e-02 1.1134493033e-02 9.8750092449e-01 2.8339435290e-03 6.3555057177e-01 1.6828617195e-03 5.2563497469e-01 2.7498093753e-03 5.8776620775e-02 9.9218750000e-01
0.420 0.010 1.0712005012e-01 6.4454410760e-03 9.7410461698e-01 1.9134572089e-03 3.7992669735e-02 6.9977432453e-03 9.9804687500e-01 3.3829117335e-03 1.1726699568e-01 8.5819836741e-03 9.7084531993e-01 2.8736280047e-03 8.8747635484e-02 2.5633993298e-03 9.8141779454e-01 7.8030278256e-04 5.7707207994e-01 6.9551837100e-03 4.5713685207e-01 4.4716514437e-03 6.4255297184e-02 1.0000000000e+00
0.450 0.010 1.6587694734e-01 9.3193955936e-03 9.5935876338e-01 4.9835703743e-03 2.8535972349e-02 4.9164774644e-03 1.0000000000e+00 0.0000000000e+00 1.9887889349e-01 7.0739974299e-03 9.4951673465e-01 4.9017705259e-03 1.1128642783e-01 1.2733445731e-02 9.7604652023e-01 5.1541253870e-03 4.4455342391e-01 6.8144449457e-03 3.0123741494e-01 4.1101212583e-03 7.9803749919e-02 1.0000000000e+00
0.475 0.010 2.7816212922e-01 1.6041755391e-02 9.1729378918e-01 9.7042019523e-03 6.5529176965e-02 1.4621425248e-02 1.0000000000e+00 0.0000000000e+00 3.4001044895e-01 1.6040933028e-02 8.9623127892e-01 8.6975588596e-03 1.7543414980e-01 1.6885765826e-02 9.5416389320e-01 7.2490458131e-03 3.2357731383e-01 8.0707085918e-03 1.8506044511e-01 4.2202333386e-03 8.7507352233e-02 1.0000000000e+00
