# process with pid = 42004, launched at 2019-07-01 09:19:37.922736
# <j2> <train_ratio> <test_loss> <test_loss_err> <test_accuracy> <test_accuracy_err> <train_loss> <train_loss_err> <train_accuracy> <train_accuracy_err> <rest_loss> <rest_loss_err> <rest_accuracy> <rest_accuracy_err> <resampled_loss> <resampled_loss_err> <resampled_accuracy> <resampled_accuracy_err> <total_overlap> <total_overlap_err> <rest_overlap> <rest_overlap_err> <total_expr> <total_acc> 
0.000 0.010 6.4739795402e-02 9.9371146730e-03 9.8536508700e-01 3.4099446568e-03 2.3833677173e-02 1.5198780918e-03 1.0000000000e+00 0.0000000000e+00 6.5961253387e-02 9.8570696838e-03 9.8472657856e-01 3.3844136366e-03 6.1573641375e-02 8.3348818710e-03 9.8763959766e-01 2.5641999600e-03 9.6112725332e-01 1.2621884240e-02 9.4872117417e-01 1.4376135742e-02 7.0359893143e-02 1.0000000000e+00
0.100 0.010 5.3669753484e-02 8.1432265955e-03 9.8928961041e-01 2.9186072943e-03 1.8305277918e-02 3.2068934673e-03 1.0000000000e+00 0.0000000000e+00 5.4829311212e-02 8.3329093807e-03 9.8880411292e-01 3.0481602053e-03 4.9172176048e-02 7.5728599953e-03 9.9154093632e-01 2.5011624949e-03 9.6525482545e-01 7.1951607588e-03 9.5786199328e-01 8.9230709577e-03 3.9673544466e-02 1.0000000000e+00
0.200 0.010 4.9098122865e-02 1.1050777420e-02 9.9062552003e-01 2.5956371107e-03 1.8589101499e-02 5.6614823084e-03 1.0000000000e+00 0.0000000000e+00 5.0684836962e-02 1.1099372415e-02 9.8987921867e-01 2.4974307435e-03 4.5985630713e-02 1.0855858648e-02 9.9270579099e-01 2.3049801142e-03 9.7082305988e-01 6.1855649634e-03 9.6706698937e-01 5.8310121784e-03 1.2374488637e-02 1.0000000000e+00
0.300 0.010 4.9625858665e-02 7.8994658501e-03 9.9033892351e-01 2.5918640331e-03 2.1538827568e-02 4.2903645996e-03 1.0000000000e+00 0.0000000000e+00 5.0746521083e-02 7.0601353406e-03 9.9003849542e-01 2.2023722880e-03 4.8481617123e-02 9.6329437846e-03 9.9168885437e-01 3.0541557831e-03 9.6688922498e-01 8.1685775556e-03 9.5734090604e-01 6.4844829012e-03 3.4697253257e-02 1.0000000000e+00
0.400 0.010 4.8476845957e-02 3.4068223160e-03 9.9039901633e-01 1.6979899058e-03 1.7023157328e-02 2.1246910431e-03 1.0000000000e+00 0.0000000000e+00 4.9813496412e-02 4.8334939441e-03 9.8996708318e-01 2.5654290203e-03 4.5052338392e-02 3.8136653890e-03 9.9224354707e-01 1.5209721492e-03 9.4335131255e-01 4.8983193885e-03 9.1953396030e-01 6.2213493897e-03 2.8641369194e-02 1.0000000000e+00
0.500 0.010 6.2368467450e-02 9.2840143811e-03 9.8692287780e-01 2.8345198959e-03 2.3187372368e-02 7.1212777521e-03 1.0000000000e+00 0.0000000000e+00 6.4531167359e-02 7.6965172039e-03 9.8580140049e-01 2.5491022735e-03 5.7160162367e-02 9.6895389250e-03 9.8949781821e-01 2.5696105662e-03 8.2088006466e-01 4.1002298766e-03 7.6384708807e-01 3.5175148044e-03 4.9179632217e-02 1.0000000000e+00
0.600 0.010 7.8383225948e-02 2.5949954042e-03 9.8258694969e-01 1.2430638304e-03 2.5676027406e-02 3.8066664282e-03 1.0000000000e+00 0.0000000000e+00 8.5162196727e-02 3.0731870814e-03 9.8053371006e-01 1.6353428895e-03 6.8668989465e-02 1.0539790567e-03 9.8685378300e-01 6.4183695576e-04 6.7776426679e-01 7.1813554603e-04 5.9988783646e-01 1.6413714062e-03 2.7928428724e-02 1.0000000000e+00
0.700 0.010 1.2825528346e-01 6.8828609736e-03 9.7090582993e-01 2.6914845700e-03 2.8247436043e-02 6.1020736960e-03 1.0000000000e+00 0.0000000000e+00 1.5104006097e-01 4.4104592541e-03 9.6439473440e-01 2.1534568672e-03 9.3539476395e-02 3.0096562774e-03 9.8132534576e-01 1.7913129716e-03 5.3466171038e-01 3.7588178881e-03 4.4070596809e-01 1.5879416377e-03 3.7112008780e-02 1.0000000000e+00
0.800 0.010 2.3149004951e-01 9.4881716705e-04 9.3393025535e-01 1.1964661890e-03 5.1249869168e-02 7.9426629126e-03 1.0000000000e+00 0.0000000000e+00 2.7389195692e-01 2.7749081751e-03 9.1796050175e-01 1.3481490611e-03 1.6045401990e-01 5.3551711012e-03 9.5992345241e-01 2.7665983866e-03 4.2848162557e-01 7.1777941810e-03 3.1961270817e-01 4.9610242132e-03 4.0287561715e-02 1.0000000000e+00
0.900 0.010 3.5361497104e-01 9.2459658880e-03 8.6752306640e-01 4.6788969699e-03 1.1140851863e-01 9.5886197053e-03 9.9264705882e-01 1.2735667703e-02 4.0532641545e-01 7.8028548844e-03 8.4113163007e-01 4.1146165748e-03 2.5359312817e-01 5.6301653515e-03 9.1962502773e-01 2.7095538218e-03 3.6171974273e-01 1.0648267626e-02 2.3937003909e-01 9.0723801885e-03 9.7295314074e-02 1.0000000000e+00
1.500 0.01000 5.4752105474e-01 2.7422723459e-02 7.2532958601e-01 2.0993653879e-02 2.8672203422e-01 2.1677262785e-02 9.3137254902e-01 1.3864838847e-02 5.9120898243e-01 2.4035577089e-02 6.9193997571e-01 1.7965703621e-02 4.1872858008e-01 2.5479196338e-02 8.2026723862e-01 1.7485805890e-02 7.6961452584e-01 2.5127137781e-02 3.8386263174e-01 3.5931397727e-02 3.0387690663e-01 9.1176470588e-01
1.550 0.01000 5.2729940414e-01 2.5014554368e-02 7.4054077375e-01 1.8257199421e-02 2.3839223882e-01 3.4419286777e-02 9.4194240196e-01 4.1063637459e-02 5.7877772181e-01 2.0734575906e-02 7.0389279802e-01 1.6349096228e-02 3.8869275649e-01 1.9701346628e-02 8.3711757020e-01 1.2711716305e-02 8.0118521993e-01 2.4388027284e-02 4.0776812160e-01 3.2698128028e-02 1.9099427760e-01 1.0000000000e+00
1.600 0.01000 5.3631488482e-01 1.7759148492e-02 7.3321253136e-01 1.3739958380e-02 2.6547844708e-01 4.0370596716e-02 9.2953431373e-01 5.0772873740e-02 5.9160725259e-01 1.6178591532e-02 6.9456347866e-01 1.5119994404e-02 3.9891844988e-01 2.6889232717e-02 8.3175554076e-01 1.4191795308e-02 7.9602854945e-01 2.6632491576e-02 3.8910990424e-01 3.0240113499e-02 3.0444365740e-01 8.8235294118e-01
1.100 0.01000 5.8700950940e-01 6.1403661742e-04 6.9181320070e-01 1.5725886491e-03 3.5680200656e-01 1.5070452220e-02 8.8235294118e-01 6.3536673514e-02 6.1197857442e-01 2.1041712583e-03 6.7262631973e-01 5.3474179418e-04 5.1458426317e-01 2.3008613976e-03 7.5340827848e-01 3.1497535513e-03 5.9544572820e-01 9.9018717252e-03 3.4523741330e-01 1.0694198950e-03 3.3555310965e-01 9.4117647059e-01
1.200 0.01000 6.1088804404e-01 4.9457112289e-03 6.6931691413e-01 6.0172385669e-03 4.1375899315e-01 1.0638976461e-02 8.4895833333e-01 3.6828478187e-03 6.3029433627e-01 3.5439179657e-03 6.5318915591e-01 4.5714581400e-03 5.4533259074e-01 6.3759051006e-03 7.3118359096e-01 5.0075352858e-03 5.5285376443e-01 1.6274179667e-02 3.0636458423e-01 9.1428880920e-03 4.2206498981e-01 8.4375000000e-01
