# process with pid = 76696, launched at 2019-07-01 09:17:47.907321
# <j2> <train_ratio> <test_loss> <test_loss_err> <test_accuracy> <test_accuracy_err> <train_loss> <train_loss_err> <train_accuracy> <train_accuracy_err> <rest_loss> <rest_loss_err> <rest_accuracy> <rest_accuracy_err> <resampled_loss> <resampled_loss_err> <resampled_accuracy> <resampled_accuracy_err> <total_overlap> <total_overlap_err> <rest_overlap> <rest_overlap_err> <total_expr> <total_acc> 
0.000 0.010 2.1078929967e-03 1.1303673973e-03 9.9935746908e-01 3.6757064936e-04 3.7074170791e-06 2.0789928471e-06 1.0000000000e+00 0.0000000000e+00 2.4267971846e-03 1.3379499254e-03 9.9922639175e-01 4.5856053371e-04 1.4840910408e-03 9.3362863129e-04 9.9957473560e-01 2.8464618590e-04 9.9673572231e-01 2.2154909504e-03 9.9746131712e-01 1.3775297482e-03 9.9856406450e-06 1.0000000000e+00
0.100 0.010 6.4922405872e-03 2.1851504706e-03 9.9796146663e-01 8.2518214978e-04 1.6967053682e-06 8.8708260465e-07 1.0000000000e+00 0.0000000000e+00 6.9277241759e-03 2.2846499186e-03 9.9786295508e-01 8.5828064025e-04 4.3265486602e-03 8.5143788388e-04 9.9859477849e-01 4.3988526194e-04 9.9580010227e-01 1.7384667889e-03 9.9366413298e-01 2.2264119657e-03 6.7738924372e-06 1.0000000000e+00
0.200 0.010 1.7396143885e-03 2.0477317809e-03 9.9951463491e-01 6.7878748433e-04 1.5892321258e-05 2.5979179779e-05 1.0000000000e+00 0.0000000000e+00 1.7253436296e-03 1.8187810958e-03 9.9943559474e-01 7.2315026718e-04 8.7209076082e-04 7.8122544010e-04 9.9985208195e-01 1.7540923342e-04 9.9751933566e-01 2.6450154599e-03 9.9707690360e-01 2.5763640293e-03 6.5004123826e-06 1.0000000000e+00
0.300 0.010 2.7260832139e-03 7.5065334375e-04 9.9913096537e-01 2.5115244545e-04 5.6231613641e-06 6.7310022311e-06 1.0000000000e+00 0.0000000000e+00 2.7381015857e-03 7.8746792769e-04 9.9918100276e-01 2.7592665958e-04 2.3381659703e-03 8.7127753310e-04 9.9938983803e-01 2.6730331142e-04 9.9345409172e-01 2.3169382812e-03 9.9207911796e-01 1.5099157469e-03 4.7107227147e-05 1.0000000000e+00
0.400 0.010 1.7203531024e-03 1.0161287672e-03 9.9952850249e-01 3.2145662502e-04 6.7844111840e-07 6.3195233733e-07 1.0000000000e+00 0.0000000000e+00 2.1912132704e-03 1.1721424547e-03 9.9939425054e-01 3.6855832946e-04 9.5073437842e-04 5.1270157900e-04 9.9970416389e-01 2.4107693237e-04 9.6927058507e-01 1.2656110475e-03 9.5083340688e-01 1.0215431269e-03 3.5005457903e-05 1.0000000000e+00
0.500 0.010 8.0293848878e-03 3.2886928493e-03 9.9825730821e-01 8.6700375744e-04 2.0074658096e-06 1.1541035856e-06 1.0000000000e+00 0.0000000000e+00 9.1120519331e-03 2.0055646939e-03 9.9809241137e-01 8.0630237789e-04 4.5502406429e-03 2.2416277857e-03 9.9889061460e-01 6.2701815538e-04 8.4710027455e-01 1.3002709118e-03 7.9300117418e-01 1.3396097359e-03 9.7230076790e-07 1.0000000000e+00
0.600 0.010 3.9304797072e-02 6.7889826827e-03 9.9248839746e-01 2.6082305977e-03 7.1152962846e-05 3.6115522186e-05 1.0000000000e+00 0.0000000000e+00 4.6816196895e-02 6.0430926004e-03 9.9156596197e-01 2.4063580511e-03 2.5135925971e-02 7.5464131065e-03 9.9475815398e-01 1.0883464064e-03 6.9062876083e-01 3.2248837061e-03 6.1607294000e-01 3.6465620642e-03 7.6518343121e-05 1.0000000000e+00
0.700 0.010 9.4035947695e-02 7.1533016792e-03 9.7869016142e-01 1.6480840024e-03 1.0019212059e-03 1.9628830307e-04 1.0000000000e+00 0.0000000000e+00 1.1723450661e-01 9.3617140680e-03 9.7355381268e-01 2.1078105786e-03 5.2522153594e-02 2.7465713126e-03 9.8823126988e-01 1.2271335445e-03 5.6146719981e-01 6.0843130896e-03 4.7185481468e-01 4.4061499490e-03 8.8284997037e-04 1.0000000000e+00
0.800 0.010 1.7127645761e-01 4.6307060811e-03 9.4723850378e-01 1.7868315026e-03 3.4141213400e-03 8.7269733601e-04 1.0000000000e+00 0.0000000000e+00 2.1155256673e-01 6.6330672100e-03 9.3401974968e-01 1.5391591122e-03 9.9805379286e-02 2.1704858826e-03 9.7115597959e-01 7.4419835062e-04 4.9908689074e-01 8.7342560021e-03 3.8926318851e-01 4.5480936988e-03 4.3870420195e-03 1.0000000000e+00
0.900 0.010 2.6431243867e-01 8.5113985084e-03 9.0438770039e-01 2.5299022867e-03 1.5347056091e-02 3.2565452165e-03 1.0000000000e+00 0.0000000000e+00 3.2093654686e-01 1.0063968360e-02 8.8327533116e-01 3.2201763342e-03 1.5836095065e-01 9.9125746510e-03 9.4565860513e-01 3.9521827861e-03 4.7212569788e-01 7.7359545037e-03 3.4020839310e-01 5.4652442544e-03 1.1760169640e-02 1.0000000000e+00
